,Brand,Phone name,Colour,RAM,Storage(ROM),Primary Camera,Secondary Camera,Display Size,Display Resolution,Processor,Processor Cores,Battery Capacity,Price,URL
0,Infocus,Vibe Plus,Light Grey,32 MB,32 MB,-,-,4.57 cm (1.8 inch),128 x 160$$pixel,-,-,-,₹889,https://www.flipkart.com/infocus-vibe-plus/p/itmf8014043d31c6?pid=MOBGYMEYWKEQZRZF&lid=LSTMOBGYMEYWKEQZRZFCKK5JZ&marketplace=FLIPKART&q=one+plus+pixel&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=e40fd32c-567d-42a6-860b-ad144351f288.MOBGYMEYWKEQZRZF.SEARCH&ppt=hp&ppn=homepage&ssid=n4jgtlvs1c0000001635027590489&qH=d08bbd9be414f304
1,ringme,Reno Plus,Red,2 GB,16 GB,Primary Camera,-,15.75 cm (6.2 inch),1980 x 1080$$pixel,-,Quad Core,-,"₹4,799",https://www.flipkart.com/ringme-reno-plus-red-16-gb/p/itma7cbd75a240dd?pid=MOBFXZX3QEKWMBXB&lid=LSTMOBFXZX3QEKWMBXBECQGSJ&marketplace=FLIPKART&q=one+plus+pixel&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=SEARCH&iid=e40fd32c-567d-42a6-860b-ad144351f288.MOBFXZX3QEKWMBXB.SEARCH&ppt=hp&ppn=homepage&ssid=n4jgtlvs1c0000001635027590489&qH=d08bbd9be414f304
2,ringme,Reno Plus,Blue,2 GB,16 GB,Primary Camera,-,15.75 cm (6.2 inch),1980 x 1080$$pixel,-,Quad Core,-,"₹5,469",https://www.flipkart.com/ringme-reno-plus-blue-16-gb/p/itma7cbd75a240dd?pid=MOBFYYUYKCGBZVDH&lid=LSTMOBFYYUYKCGBZVDHSPMGMZ&marketplace=FLIPKART&q=one+plus+pixel&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=SEARCH&iid=e40fd32c-567d-42a6-860b-ad144351f288.MOBFYYUYKCGBZVDH.SEARCH&ppt=hp&ppn=homepage&ssid=n4jgtlvs1c0000001635027590489&qH=d08bbd9be414f304
3,SAMSUNG,Galaxy S10 Plus,Ceramic White,12 GB,1 TB,16MP + 12MP,-,16.26 cm (6.4 inch),3040 x 1440 pixel,Exynos 9 9820,Octa Core,4100 mAh,"₹1,17,990",https://www.flipkart.com/samsung-galaxy-s10-plus-ceramic-white-1-tb/p/itmfdyp6yc3fu2fg?pid=MOBFDNMZC29CBUPF&lid=LSTMOBFDNMZC29CBUPFT0HVQQ&marketplace=FLIPKART&q=one+plus+pixel&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=SEARCH&iid=e40fd32c-567d-42a6-860b-ad144351f288.MOBFDNMZC29CBUPF.SEARCH&ppt=hp&ppn=homepage&ssid=n4jgtlvs1c0000001635027590489&qH=d08bbd9be414f304
4,Micromax,-,-,Quad Core,Android Nougat 7.0,2 GB,-,-,-,-,-,3000 mAh,"₹5,500",https://www.flipkart.com/micromax-bharat-4-plus-black-16-gb/p/itm489b353906344?pid=MOBFUFPMTHWBCTVW&lid=LSTMOBFUFPMTHWBCTVW2U0SVA&marketplace=FLIPKART&q=one+plus+pixel&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=SEARCH&iid=e40fd32c-567d-42a6-860b-ad144351f288.MOBFUFPMTHWBCTVW.SEARCH&ppt=hp&ppn=homepage&ssid=n4jgtlvs1c0000001635027590489&qH=d08bbd9be414f304
5,LAVA,Pixel V2 Plus,White,3 GB,32 GB,13MP Rear Camera,-,12.7 cm (5 inch),720 x 1280 Pixels,-,Quad Core,2500 mAh,"₹8,999",https://www.flipkart.com/lava-pixel-v2-plus-white-32-gb/p/itmexfz2feqcny25?pid=MOBEXFZ2XUBEUGWR&lid=LSTMOBEXFZ2XUBEUGWRTB0JVK&marketplace=FLIPKART&q=one+plus+pixel&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=SEARCH&iid=e40fd32c-567d-42a6-860b-ad144351f288.MOBEXFZ2XUBEUGWR.SEARCH&ppt=hp&ppn=homepage&ssid=n4jgtlvs1c0000001635027590489&qH=d08bbd9be414f304
6,LAVA,Pixel V2 Plus,Black,3 GB,32 GB,13MP Rear Camera,-,12.7 cm (5 inch),720 x 1280 Pixels,-,Quad Core,2500 mAh,"₹7,290",https://www.flipkart.com/lava-pixel-v2-plus-black-32-gb/p/itmexfz2feqcny25?pid=MOBEXFZ2DSJAPPHV&lid=LSTMOBEXFZ2DSJAPPHVDOBZDH&marketplace=FLIPKART&q=one+plus+pixel&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=SEARCH&iid=e40fd32c-567d-42a6-860b-ad144351f288.MOBEXFZ2DSJAPPHV.SEARCH&ppt=hp&ppn=homepage&ssid=n4jgtlvs1c0000001635027590489&qH=d08bbd9be414f304
7,LAVA,Pixel V2 Plus,Black,2 GB,16 GB,5MP + 5MP Dual Front Camera,-,12.7 cm (5 inch),1280 x 720 Pixels,-,Quad Core,2500 mAh,"₹6,199",https://www.flipkart.com/lava-pixel-v2-plus-black-16-gb/p/itmf2jgahv25gutu?pid=MOBF2GDCJGHHXN6M&lid=LSTMOBF2GDCJGHHXN6M5BOQRA&marketplace=FLIPKART&q=one+plus+pixel&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=SEARCH&iid=e40fd32c-567d-42a6-860b-ad144351f288.MOBF2GDCJGHHXN6M.SEARCH&ppt=hp&ppn=homepage&ssid=n4jgtlvs1c0000001635027590489&qH=d08bbd9be414f304
8,LAVA,KKT Uno+,"Gold, Black",512 MB,512 MB,-,-,cm,240 x 320,-,-,-,"₹1,199",https://www.flipkart.com/lava-kkt-uno/p/itme8rpyfygeuqbv?pid=MOBE8RPYDGPGQCHZ&lid=LSTMOBE8RPYDGPGQCHZTB6XUP&marketplace=FLIPKART&q=one+plus+pixel&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=SEARCH&iid=e40fd32c-567d-42a6-860b-ad144351f288.MOBE8RPYDGPGQCHZ.SEARCH&ppt=hp&ppn=homepage&ssid=n4jgtlvs1c0000001635027590489&qH=d08bbd9be414f304
9,Intex,Neo V+ FM,"Red, Black",60 MB,60 KB,-,-,4.57 cm (1.8 inch),128 x 160 Pixels,-,-,-,₹849,https://www.flipkart.com/intex-neo-v-fm/p/itmeaf4b8dxznsvq?pid=MOBEAF4BV6JERHCX&lid=LSTMOBEAF4BV6JERHCXACCZGJ&marketplace=FLIPKART&q=one+plus+pixel&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=SEARCH&iid=e40fd32c-567d-42a6-860b-ad144351f288.MOBEAF4BV6JERHCX.SEARCH&ppt=hp&ppn=homepage&ssid=n4jgtlvs1c0000001635027590489&qH=d08bbd9be414f304
